Job Description,Job Category
Division of Economic & Financial Opportunity (DEFO)Mayor Michael R. Bloomberg and SBS are committed to encouraging a competitive and diverse New York City business environment by promoting the growth and success of minority and women-owned companies.New York City Minority and Women-owned Business Enterprise (M/WBE) program is designed to help these historically underserved groups become more competitive.JOB DESCRIPTION The Account Manager will provide a range of supportive services to City agency purchasing personnel and private-sector prime contractors to help them comply with M/WBE utilization goals under Local Law 129.The Account Manager will oversee a portfolio of several City agencies and will be responsible for the monitoring and oversight of the strategies which have been broadly laid out for agencies to increase M/WBE utilization.The primary objective for the Account Manager is to help agencies increase the number and dollar value of contracts awarded to M/WBE at vari,
The New York City Department of Small Business Services (SBS) is a vibrantclient-centered agency whose mission is to serve New York small businessesjobseekers and commercial districts.SBS makes it easier for companies in New York City to startoperateand expand by providing direct assistance to business ownerssupporting commercial districtspromoting financial and economic opportunity among minority- and women-owned businessespreparing New Yorkers for jobsand linking employers with a skilled and qualified workforce.SBS continues to reach for higher professional standards through innovative systemsnew approaches to governmentand a strong focus on its employees.NYC Business Solutions is a set of services offered by the NYC Department of Small Business Services to help businesses startoperateand expand in New York City.All services are offered at no cost and are available to businesses of any size and at any stage.Services can be accessed through the city 7 NY,
Under direct supervisionassist in the routine maintenance operation and repair of public buildingsstructuresand the equipment they containperform related work.Responsibilitiesincludebut are not limited to the following:1.Perform minor and major repairs to boilersburnersvacuum tankpumpsmotors and other various heating equipment citywide.2.Survey and report on existing conditions of heating equipment.3.Assist Heating Superintendent with periodic reports.4.Assist skill trades staff.5.Provide assistance during emergencies.6.Respond to all heating/hot water service disruptions.Candidates selected must be available to work and travel throughout the five boroughsand will be required to work rotating shiftsincluding holidays and weekends.8:00 AM - 4:00 PM4:00 PM - 12:00 AM12:00 AM - 8:00 AM,Maintenance & Operations
Under direct supervisionassist in the routine maintenance operation and repair of public buildingsstructuresand the equipment they containperform related work.Responsibilitiesincludebut are not limited to the following:1.Perform minor and major repairs to boilersburnersvacuum tankpumpsmotors and other various heating equipment citywide.2.Survey and report on existing conditions of heating equipment.3.Assist Heating Superintendent with periodic reports.4.Assist skill trades staff.5.Provide assistance during emergencies.6.Respond to all heating/hot water service disruptions.Candidates selected must be available to work and travel throughout the five boroughsand will be required to work rotating shiftsincluding holidays and weekends.8:00 AM - 4:00 PM4:00 PM - 12:00 AM12:00 AM - 8:00 AM,Maintenance & Operations
Responsibilities of selected candidates will includebut are not limited to the following:1.Preparefill and prime surfaces for painting.2. Mix paint components and match colors.3.Apply paint with a brushroller or spray gun.4.Apply plaster to surfaces.5.Work on and from laddersplatforms and scaffolds6.Rig lines and scaffolds.,Maintenance & Operations
Responsibilities of selected candidates will includebut are not limited to the following:1.Preparefill and prime surfaces for painting.2. Mix paint components and match colors.3.Apply paint with a brushroller or spray gun.4.Apply plaster to surfaces.5.Work on and from laddersplatforms and scaffolds6.Rig lines and scaffolds.,Maintenance & Operations
** OPEN TO PERMANENT PROCUREMENT ANALYSTS ONLY. YOU MUST CLEARLY STATE YOUR CIVIL SERVICE STATUS ON YOUR COVER LETTER.ALL OTHER CANDIDATES WILL NOT BE CONSIDERED.The mission of the Bureau of HIV/ AIDS Prevention and Control (the Bureau) is to prevent new infections and reduce morbidity and mortality among HIV-infected persons. The goals of the Administration Unit of the Bureau is to provide the necessary administrative support and coordination in the areas of contract administrationprocurementhuman resources managementfiscal administrationand contracts management to enable the program areas (HIV PreventionHIV Care & TreatmentHIV TestingHousingand HIV Epidemiology and Field Services Unit) to function effectively and efficiently in achieving their respective missions.DUTIES WILL INCLUDE BUT NOT BE LIMITED TO:--Development and management of complex contracts and purchases for CityStateand/or Federal grants.-- Manage the lifecycle of a grant budget(s)includingbut not l,FinanceAccounting& Procurement
Working in the Distribution Water Quality Operations DivisionOrganic SectionQueensNew Yorkthe Associate Chemist II will report to the Organic Lab Section Supervisor and will perform and oversee complex testing of drinking water samples for trace organic contaminants by one or more gas chromatographic methods. This person will be responsible for maintaining the capability of the organic section to perform testing by their assigned methodsincluding: training analystsmaintaining stocks of equipment and suppliesdiagnosing instrument problems and performing routine maintenance on gas chromatographs. The Associate Chemist will also draft or review analytical reportsStandard Operating Procedures (SOPs)and final reports to external agencies for his/her assigned methods. They shall participate in analysis of proficiency samples from NYS Department of Health Environmental Laboratory Approval Program (ELAP) and other Proficiency Test (PT) suppliers.,Health Public SafetyInspections& Enforcement
Reporting to the Deputy Director of Technical Planningwith latitude for independent judgmentthe Cost Estimating Manager is responsible for oversight and management of the day-to-day operations of the Cost Estimating Section of Capital Planning.Responsibilities includebut are not limited to the following:1.Supervise cost estimating staff.2.Planassign and review work of subordinates. 3.Oversee the preparation of various levels of cost estimates for the planningdesignconstructionremodeling or repair of buildingsmechanical systems or various installations.4.Monitor quantity takeoffs and cost evaluations in relation to contract drawingsspecifications or contract changes.5.Engage in and monitor complex researchconduct studies and investigations related to estimating functions.6.Ensure price library meets with current cost variations.7.Review contract estimates prepared by professional consultants and make recommendations for acceptancerejection or modification.,Engineering Architecture & Planning
Under the direction of a Plumberassist with emergencies of routine and scheduled plumbing repairs of residence and public space.Duties will includebut are not limited to the following:1.Prepare for PHAS and corrects PHAS deficiencies.2.Assist Plumber with the following related tasks:perform work relating to installationalterationmaintenance and repair of piping of gaspotable waterplumbingheating and drainage system installmaintainand repair piping for watergasstormwastesoil and vent systems setmaintainand repair plumbing equipment and accessories.3.Carry toolsworking materials and equipment and prepares the work location.Move heavy valvespiping and fixtures.4.Cutdrill or other wise prepare openings as may be necessary for the installationmaintenance or repair of plumbing pipes and fixtures.5.Clean work area.NOTE:Assignments will be made throughout the five boroughs.,Legal Maintenance & Operations
